 SR NO.,CUSTOMER NAME,MATERIAL TYPE,PART SIZE,CUSTOMER PART CODE,UOM,RECIVED QTY,DISPATCH QTY,BALANCE QTY,STOCK IN KG PER PIC,STOCK IN KG ,,
128,C & S,VCI BAG,100 X 100 X 300 BLUE,POLY0033,PCS,12000,,12000,0.002,24,ok,
129,C & S,VCI BAG,100 X 100 X 300 YELLOW,,PCS,105590,50690,54900,0.001585,87.0165,,
130,C & S,VCI BAG,230 X 250 75 MIC ( YELLOW),POLY0014,PCS,40720,18210,22510,0.0087,195.837,ok,
131,C & S,VCI BAG,230 X 250 75 MIC ( blue),POLY1147,PCS,61500,45500,16000,0.0087,139.2,ok,
132,C & S,VCI BAG,160 X 215 75 MIC ( YELLOW ),POLY0015,PCS,225730,161230,64500,0.00509,328.305,ok,
133,C & S,VCI BLUE PLAIN BAG,160 X 215 75 MIC ( BLUE),POLY1146,PCS,79650,72900,6750,0.00509,34.3575,ok,
134,C & S,VCI BAG,12 X 13 X 300,,KGS,0,,0,1,0,,
135,C & S,VCI BAG,90 X 90 X 300 ( BLUE ),POLY1143,PCS,43200,15500,27700,0.00135,37.395,ok,
136,C & S,VCI BAG,120 X 170 X 300 ( YELLOW ),POLY0125,PCS,49040,38000,11040,0.003184,35.15136,ok,
137,C & S,LD BAG,530 X 815 X 208,,PCS,0,,0,0.042,0,ok,
138,C & S,LD BAG,530 X 635 X 208,,PCS,800,,800,0.033,26.4,,
139,C & S,LD BAG,530 X 960 X 208,,PCS,26,,26,0.05,1.3,ok,
140,C & S,LD BAG,850 X 650 X 208,,PCS,3122,1500,1622,0.054,87.588,,
141,C & S,LD BAG,530 X 670 X 208,,PCS,0,,0,0.035,0,,
804,C & S,VCI BLUE PLAIN,25 X 30 X 350,,PCS,15970,15566,404,,0,,
143,C & S,LD BAG,460 X 500,,PCS,0,,0,0.023,0,,
144,C & S,LD BAG,460 X 680,,PCS,0,,0,0.031,0,,
145,C & S,VCI BAG,610 X 610 x 300,,PCS,2400,,2400,0.036,86.4,,
146,C & S,LD BAG,450 X 300,POLY0060,PCS,10190,7000,3190,0.025,79.75,,
147,C & S,LD BAG,450 X 500 x 208,POLY0061,PCS,5685,3000,2685,0.022,59.07,,
148,C & S,VCI BAG  YELLOW,80 X 220 75 MIC,POLY5250,PCS,23250,,23250,0.003,69.75,ok,
149,C & S,ZIP LOCK BAG,100 X 150,,PCS,5200,5000,200,0.002,0.4,ok,
150,C & S,VCI SHEET,1200 X 1200 52 MIC,INGEN00001,PCS,6299,5075,1224,0.0733,89.7192,ok,
151,C & S,VCI BAG YELLOW,300 X 350 X 75 MIC,POLY2025,PCS,5965,,5965,0.015,89.475,ok,
,C & S,VCI BAG BLUE,300 X 350 X 75 MIC,,PCS,6665,500,6165,,,,
152,C & S,VCI BAG blue,460 x 475 x 300,,PCS,2000,2000,0,0.003,0,ok,
153,C & S,LD BAG,300 X 274,,PCS,2250,2250,0,0.014,0,ok,
154,C & S,LD NAT PRINTED BAG,370 X 490,,PCS,5180,3430,1750,0.0026,4.55,,
155,C & S,LD BAG,370 X 346 x 208,,PCS,2440,,2440,0.018,43.92,,
156,C & S,VCI BAG YELLOW,460 X 475 X 75 MIC,,PCS,14090,8500,5590,0.031,173.29,ok,
157,C & S,VCI BLUE PLAIN,16 X 22 352 ,CNB6104163,PCS,21439,16299,5140,0.0039,20.046,ok,
158,C & S,VCI BLUE PLAIN,30 X 45 X 352,,KGS,251.1,251.1,0,,,,
159,C & S,LD PRINT,305 X 220,,PCS,4390,,4390,,,,
,C & S,VCI BLUE,4 X 4 X 320,,PCS,7000,6000,1000,,,,
,C & S,VCI BLUE PRINT,4 X 8 X 320,,PCS,5400,5000,400,,,,
,C & S,VCI BLUE PRINT,5 X 8 X 320,,PCS,3720,3000,720,,,,
806,C&S,LD PRINT,550 X 750 X 208,,PCS,4450,4450,0,,0,,
160,CAPARO,VCI BAG,380 X 600,DUMP,PCS,600,,600,0.032,19.2,,
161,CAPARO,VCI BAG,340 X 500 X 100,DUMP,PCS,1515,,1515,0.024,36.36,,
162,CBM,LD BAG,10 X 12,DUMP,PCS,2270,0,2270,0.011,24.97,ok,
163,CBM,LD BAG,7 X 10,DUMP,PCS,5000,,5000,0.0096,48,,
164,CONTITECH INDIA,LD BAG,7 X 26,,PCS,0,0,0,0.01765,0,ok,
165,CRADLEWISE,LD BAG,100 X 140,,PCS,25000,,25000,0.002,50,,
166,DAIDO,,260 X 260 65 MIC,,PCS,10820,10820,0,0.01,0,,
167,DAIDO,SUZUKI,230 X 230 X 400,,KGS,0,0,0,1,0,,
168,DAIDO,LD BAG,18 X 19,DUMP,PCS,800,,800,0.031,24.8,,
,DAIDO,SUZUKI BOX,8 X 8 X 1.75,,PCS,2800,2333,467,,,,
169,DAIDO,SUZUKI,90 X 125,PB1010030,KGS,0,0,0,1,0,,
170,daido,"LD PRINT SUZUKI",135 x 290,,KGS,11.7,11.7,0,1,0,,
171,DEGANIA,LD BAG,28 X 5 X 5 X 220,,KGS,680.1,298.8,381.3,1,381.3,,
172,DEGANIA,LD BAG,150 X 550 X 100,,KGS,15,0,15,1,15,,
173,DEGANIA,LD BAG,20 X 30 X 320,,KGS,271,,271,1,271,,
174,DEGANIA,LD BAG,12 X 24 X 300,,KGS,260.7,243,17.7,1,17.7,,
175,DEGANIA,LD BAG,80 X 600,,KGS,9.5,,9.5,,0,,
176,DEGANIA,LD BAG,125 X 175,,KGS,176.4,,176.4,1,176.4,,
177,DEGANIA,LD BAG,150 x 350,,KGS,21,,21,1,21,,
178,DEGANIA,LD BAG,370 x 370,,KGS,24.5,0,24.5,1,24.5,,
179,DEGANIA,LD BAG,6 x 8 x 320,,KGS,144,,144,1,144,,
180,DEGANIA,LD BAG,20 x 22 x 320,,KGS,64.6,,64.6,1,64.6,,
181,DEGANIA,LD NAT. PRINT BAG,1750 X 800 X 810,,PCS,510,,510,0.0197,10.047,,
182,DEGANIA,LD BAG,60 X 470 X 100,,KGS,11,0,11,1,11,,
183,DEGANIA,LD BAG,600 X 400 320,,KGS,31.1,31.1,0,,,,
184,DENSO,LD SHEET,16 X 64 X 480,,KGS,72.86,,72.86,1,72.86,,
185,DENSO,LD SHEET,32 X 64 X 320,,KGS,341.4,33,308.4,1,308.4,,
186,DENSO,LD BAG,5 X 7 X 320,,KGS,0,0,0,1,0,,
187,DENSO,LD BAG,4 X 6 X 480,,KGS,0,0,0,1,0,ok,
188,DENSO,LD BAG,15 X 18.5 X 480,,KGS,278.9,,278.9,1,278.9,ok,
189,DENSO,LD BAG,4 X 16,DUMP,KGS,35.7,0,35.7,1,35.7,ok,
190,DEVGIRI,VCI BAG,76 X 152,DF-7060101,PCS,82555,82555,0,0.002,0,ok,
191,DEVGIRI,VCI BAG,200 X 200,DF-7060105,PCS,103090,103090,0,0.006,0,,
192,DEVGIRI,VCI BLUE PRINTED,200 X 200 X 300,,KGS,588.8,588.8,0,1,0,,45000
193,ELECTROCOM,VCI BAG,4 X 5 80 MIC,,PCS,0,0,0,0.00192,0,ok,
194,ELECTROCOM,VCI BAG,4 X 6 75 MIC,,PCS,0,0,0,0.00244,0,ok,
195,ELECTROCOM,VCI BAG,3 X 4 X 320,,PCS,24000,,24000,0.002,48,ok,
196,ELECTROCOM,VCI BAG,9 X 12 100 MIC,,PCS,32255,11570,20685,0.015,310.275,ok,
197,ELITE,VCI BAG,10 X 17,1750 pcs DUMP,PCS,2720,,2720,0.015,40.8,ok,
198,ESWAR,VCI BAG,165 X 220,3010 pcs. dump,PCS,3010,,3010,0.006,18.06,ok,
199,EYEMY,LD BAG WITH ZIP,3 X 8,,PCS,12080,12080,0,0.003,0,ok,
200,FAB INDIA,LD BAG,17 X 26,,PCS,3225,,3225,0.064,206.4,ok,
201,FAB INDIA,LD BAG,11.75 X 14,3104186,PCS,64000,64000,0,0.016,0,,
202,FAB INDIA,LD BAG,17 X 24,,KGS,18.78,18.78,0,1,0,,
203,FAB INDIA,PAPER MAILER BAG,13 X 16+2,,PCS,35700,35700,0,,0,,
204,FAB INDIA,LD BAG,12 X 15 + 2,,PCS,13250,13250,0,0.006,0,,
205,FAB INDIA,LD BAG,12 X 15+1,,PCS,115400,76800,38600,,,,
206,FAB INDIA,LD BAG,12 X 16+1,,PCS,1200,1200,0,,,,
207,FOCUS,VCI BAG,7 X 9 ,,PCS,0,0,0,0.006,0,,
208,FOCUS,VCI BAG,685 X 685 75 MIC,,PCS,8090,3600,4490,0.0066,29.634,,
209,FOCUS,VCI BAG,11 X 13 75 MIC,,PCS,37250,30250,7000,0.013,91,ok,
210,FOCUS,VCI SHEET GREEN,25 X 25 75 MIC,,PCS,2460,,2460,0.057,140.22,,
211,FOCUS,VCI BAG,14 X 20,,PCS,1480,600,880,0.026,22.88,,
212,FOCUS,VCI BAG,7 X 10 300,,PCS,43710,41710,2000,0.01,20,,
213,FOCUS,LD BAG,8 X 10 75 MIC,,PCS,21500,,21500,0.007,150.5,,
214,FOCUS,VCI BAG,10 X 12 75 MIC,,PCS,5820,,5820,0.011,64.02,ok,
215,FOCUS,VCI BAG,185 X 225,,PCS,4235,0,4235,0.006,25.41,,
216,FOCUS,VCI SHEET,18 X 20,,PCS,8840,,8840,0.017243,152.42812,,
217,FOCUS,GUSSET BAG GREEN,310 X 100 X 100 X 365 75 MIC,,PCS,19398,16380,3018,0.032,96.576,ok,
218,FOCUS,VCI BAG,8 X 12 75 MIC,,PCS,13500,,13500,0.00915,123.525,,
219,FOCUS,VCI BAG GREEN,20 X 22 X 300,,PCS,91910,91910,0,0.0205,0,ok,
220,FOCUS,VCI BAG,9 X 4 X 4 X 14,,PCS,8650,8650,0,0.023875,0,,
221,FOCUS,VCI YELLOW PRINT,320 X 450 X 320,,PCS,12500,12500,0,,,,
222,FOCUS,VCI BAG,11 X 16,,PCS,10090,10090,0,,,,
222,GESCO,VCI BAG,8.5 X 4 X 4 X 20,,PCS,717,717,0,0.03,0,,
223,GREAVES,LD BAG,6 X 9 280,,PCS,0,0,0,0.005,0,,
224,GREAVES,LD BAG,6 X 20 280,,PCS,0,0,0,0.010472,0,,
225,GREAVES,LD BAG,4 X 6 X 280,,PCS,0,0,0,0.002282,0,,
226,GREAVES,LD BAG,6 X 6 280,,PCS,0,0,0,0.003343,0,,
227,GREAVES,LD BAG,12 X 12 280,,PCS,0,0,0,0.013946,0,,
228,GREAVES,LD BAG,15 X 20 280,,PCS,0,0,0,0.025389,0,,
229,GREAVES,LD BAG,13 X 16 280,,PCS,0,0,0,0.019288,0,,
230,GREAVES,LD BAG,4 X 6 280,,PCS,0,0,0,0.00232,0,,
231,GREAVES,LD BAG,4 X 4 280,,PCS,0,0,0,0.001675,0,,
232,GREAVES,LD BAG,3 X 4 280,,PCS,0,0,0,0.001255,0,,
233,GREAVES,LD BAG,3 X 11 280,,PCS,0,0,0,0.001569,0,,
234,GREAVES,LD BAG,3 X 8 280,,PCS,0,0,0,0.00235,0,,
235,GREAVES,LD BAG,10 X 13 280,,PCS,0,0,0,0.012663,0,,
236,GREAVES,LD BAG,8 X 8 280,,PCS,0,0,0,0.005991,0,,
237,GREAVES,LD BAG,10 X 22 280,,PCS,0,0,0,0.020688,0,,
238,GREAVES,LD BAG,9 x 13,,PCS,0,0,0,,0,,
239,GREAVES,LD BAG,9 x 10,2000 pcs. dump,PCS,2000,0,2000,,0,,
240,GM HITECH,VCI BLUE PRINT,5 X 5 X 400,,PCS,29190,29190,0,,0,,
241,GM HITECH,VCI BLUE PRINT,5 X 6 X 400,,PCS,29500,29500,0,,0,,
242,GM HITECH,VCI BLUE PRINT,6 X 7 X 400,,PCS,23530,23530,0,,0,,
243,HOLY SALE,,900 X 450 X 320,,PCS,35440,27000,8440,,0,,
244,HOLY SALE,LD BLUE,200 X 200 X 400,,PCS,83270,82370,900,,,,
,HOLY SALE,VCI NAT. PRINT,21 X 17 X 600,,PCS,1930,1930,0,,,,
,HOLY SALE,VCI BLUE PLAIN,16 X 17 X 360,,KGS,188.2,,188.2,,,,
,HOLY SALE,COMPOSITE STREP,32 MM,,BOX,36,34,2,,,,
,HOLY SALE,COMPOSITE STREP,19 MM,,BOX,1,1,0,,,,
,HOLY SALE,COMPOSITE STREP,16 MM,,BOX,10,10,0,,,,
,HOLY SALE,COMPOSITE STREP,25 MM,,BOX,44,40,4,,,,
244,HILAX,VCI BAG,300 X 500  52 MIC,PACK-0025,PCS,93785,93785,0,0.0021,0,ok,
245,HITECH,VCI SHEET,125 X 125,,PCS,68900,,68900,0.002,137.8,,
246,HITECH,VCI BAG,350 X 300,,PCS,2000,,2000,0.015,30,,
247,HITECH,VCI BAG,225 X 350,,PCS,2930,,2930,0.011,32.23,,
248,HITECH,VCI SHEET,200 X 200,,PCS,8140,,8140,0.006,48.84,,
249,HITECH,VCI BAG,150 X 150,,PCS,19150,,19150,0.003,57.45,,
250,HONDA,LD BAG,170 X 680 320,,KGS,123,,123,1,123,,
251,HONDA,LD BAG,90 X 360,DUMP,PCS,2000,2000,0,0.005,0,,
252,HONDA,LD BAG,70 X 340,,PCS,3880,3880,0,0.0033,0,,
253,HONDA,LD BAG,255 X 330 X 240,,KGS,178,,178,1,178,,
254,HONDA,LD BAG,190 X 250 60 MIC,,KGS,53,0,53,1,53,,
255,HONDA,LD PRINTED BAG,280 X 500 X 240,,KGS,515.66,298.68,216.98,1,216.98,,
256,HONDA,LD BAG,100 X 190,,KGS,120,,120,1,120,,
