ITEMCODE,ITEMNAME,IT_PARTNO,IT_PARTNAME,UOM
IC-1.VBDS.VBDS.005086,QHTALVB14/VCI Bag/6 X 14 INCH SFG,QHTALVB14,VCI Bag,PCS
IC-1.VBDS.VBDS.005154,BAJAJVB250/VCI Bag/250 X 300 SFG,BAJAJVB250,VCI Bag,PCS
IC-1.VBDS.VBDS.005156,BAJAJVB350/VCI Bag/350 X 400 SFG,BAJAJVB350,VCI Bag,PCS
IC-1.VBDS.VBDS.005157,"JAIPAVB100/VCI Bag/45 X 35 X 45 ,100 Micron SFG",JAIPAVB100,VCI Bag,PCS
IC-1.VBDS.VBDS.005158,JAIPAVB15/VCI Bag/10 X 10 X 15 INCH SFG,JAIPAVB15,VCI Bag,PCS
IC-1.VBDS.VBDS.005159,JAIPAVB30/VCI Bag/40 X 40 X 30 INCH SFG,JAIPAVB30,VCI Bag,PCS
IC-1.VBDS.VBDS.005160,JAIPAVB35/VCI Bag/35 X 30 X 18 INCH SFG,JAIPAVB35,VCI Bag,PCS
IC-1.VBDS.VBDS.005161,JAIPAVB40/VCI Bag/40 X 40 X 35 INCH SFG,JAIPAVB40,VCI Bag,PCS
IC-1.VBDS.VBDS.005162,JAIPAVB45/VCI Bag/40 X 40 X 45 SFG,JAIPAVB45,VCI Bag,PCS
IC-1.VBDS.VBDS.005163,JBMAUVB300/VCI Bag/300 X 650 SFG,JBMAUVB300,VCI Bag,PCS
IC-1.VBDS.VBDS.005164,JBMAUVB305/VCI Bag/300 X 350 SFG,JBMAUVB305,VCI Bag,PCS
IC-1.VBDS.VBDS.005165,"JBMAUVB800/VCI Bag/800 X 600 X 230 MM, SFG",JBMAUVB800,VCI Bag,PCS
IC-1.VBDS.VBDS.005166,JBMDPVB104/VCI Bag/1040 X 800 x 1100 MM SFG,JBMDPVB104,VCI Bag,PCS
IC-1.VBDS.VBDS.005167,JBMDPVB112/VCI Bag/1120 x 800 x 1250 MM SFG,JBMDPVB112,VCI Bag,PCS
IC-1.VBDS.VBDS.005168,JBMDPVB118/VCI Bag/1200 x 600 x 1180 MM SFG,JBMDPVB118,VCI Bag,PCS
IC-1.VBDS.VBDS.005169,JBMDPVB120/VCI Bag/1200 x 600 x 1080 MM SFG,JBMDPVB120,VCI Bag,PCS
IC-1.VBDS.VBDS.005170,JBMDPVB400/VCI Bag/310 X 160 X 400 SFG,JBMDPVB400,VCI Bag,PCS
IC-1.VBDS.VBDS.005171,"JJGAEVB11/VCI Bag/110 X 110 MM, 100 Micron SFG",JJGAEVB11,VCI Bag,PCS
IC-1.VBDS.VBDS.005172,"JJGAEVB13/VCI Bag/130 X 150 MM, 100 Micron SFG",JJGAEVB13,VCI Bag,PCS
IC-1.VBDS.VBDS.005173,"JJGAEVB25/VCI Bag/250 X 250 MM, 100 Micron SFG",JJGAEVB25,VCI Bag,PCS
IC-1.VBDS.VBDS.005174,"JJGAEVB90/VCI Bag/90 X 90 MM, 100 Micron SFG",JJGAEVB90,VCI Bag,PCS
IC-1.VBDS.VBDS.004863,FOCUSVB350/VCI Bag/310 X 310 X 350 SFG,FOCUSVB350,VCI Bag,PCS
IC-1.VBDS.VBDS.004864,FOCUSVB38/VCI Bag/380 X 170 mm SFG,FOCUSVB38,VCI Bag,PCS
IC-1.VBDS.VBDS.004867,FOCUSVB425/VCI Bag/310 X 310 X 425 SFG,FOCUSVB425,VCI Bag,PCS
IC-1.VBDS.VBDS.004868,FOCUSVB55/VCI Bag/5 X 5 inchs SFG,FOCUSVB55,VCI Bag,KGS
IC-1.VBDS.VBDS.004869,FOCUSVB57/VCI Bag/5 X 7 INCH SFG,FOCUSVB57,VCI Bag,PCS
IC-1.SLD.VBFGS.004870,C&SVB610/VCI BAG BLUE UNPRINTED/610 X 610 75 MIC,C&SVB610,VCI BAG BLUE UNPRINTED,PCS
IC-1.SLD.VBFGS.004871,C&SVB460/VCI BAG BLUE UNPRINTED/460 X 475  75 MIC,C&SVB460,VCI BAG BLUE UNPRINTED,PCS
IC-1.SLD.VFGS.004872,VCI ROLL YELLOW UNPRINTED/820 OSC 150 MIC,,VCI ROLL YELLOW UNPRINTED,KGS
IC-1.ELE.ELEOT.004874,PUSH BUTTON,,PUSH BUTTON,PCS
IC-1.FEEP.FEEP.004875,EP FOAM/270 X 285 X 100 MM,,EP FOAM,SET
IC-1.BABB.BABB.004876,BUBBLE BAG/750 X 600 MM,,BUBBLE BAG,PCS
IC-1.OE.OEAL.004877,AIR COOLER,,AIR COOLER,PCS
IC-1.SPVS.SPVS.004878,PVC SHEET/465*250,,PVC SHEET,PCS
IC-1.SPVS.SPVS.004879,PVC SHEET/565*290,,PVC SHEET,PCS
IC-1.SPVS.SPVS.004880,PVC SHEET/365*220,,PVC SHEET,PCS
IC-1.SPVS.SPVS.004881,PVC SHEET/400*360,,PVC SHEET,PCS
IC-1.VBDS.VBDS.005418,NEXTEVB10/VCI Bag/1000 X 170mm SFG,NEXTEVB10,VCI Bag,PCS
IC-1.VBDS.VBDS.005419,NEXTEVB10/VCI Bag/1070 X 1050 X 800 SFG,NEXTEVB10,VCI Bag,PCS
IC-1.VBDS.VBDS.005420,NEXTEVB11/VCI Bag/1140 X 1100 X 600 mm SFG,NEXTEVB11,VCI Bag,PCS
IC-1.VBDS.VBDS.005421,NEXTEVB12/VCI Bag/1200 X 1160 X 900 mm SFG,NEXTEVB12,VCI Bag,PCS
IC-1.VBDS.VBDS.005422,"NEXTEVB15/VCI Bag/15 X 7 ""(Open) inches, 80 Mic. SFG",NEXTEVB15,VCI Bag,PCS
IC-1.SLD.LDBFG.004882,JCBLB8/LD BAG JCB PRINTED/8 X 10,JCBLB8,LD BAG JCB PRINTED,KGS
IC-1.VBDS.VBDS.004949,ADARSHAVB385/VCI Bag/385 x 284 MM SFG,ADARSHAVB385,VCI Bag,PCS
IC-1.VBDS.VBDS.004950,ADARSHAVB400/VCI Bag/400 X 400 MM SFG,ADARSHAVB400,VCI Bag,PCS
IC-1.VBDS.VBDS.004951,ADARSHAVB535/VCI Bag/535 X 365 X 350 MM SFG,ADARSHAVB535,VCI Bag,PCS
IC-1.VBDS.VBDS.004952,ADVANCEVB1000/VCI Bag/1120 x 1060 x1000 SFG,ADVANCEVB1000,VCI Bag,PCS
IC-1.VBDS.VBDS.004953,ADVANCEVB1100/VCI Bag/1100 X 1100 X 1100 MM SFG,ADVANCEVB1100,VCI Bag,PCS
IC-1.VBDS.VBDS.004955,ADVANCEVB180/VCI Bag/1120 x 1060 x180 SFG,ADVANCEVB180,VCI Bag,PCS
IC-1.VBDS.VBDS.004956,ADVANCEVB200/VCI Bag/1120 x 1060 x 200 SFG,ADVANCEVB200,VCI Bag,PCS
IC-1.VBDS.VBDS.004957,ADVANCEVB250/VCI Bag/1120 x 1060 x 250 SFG,ADVANCEVB250,VCI Bag,PCS
IC-1.VBDS.VBDS.004958,ADVANCEVB260/VCI Bag/1120 x 1060 x 260 SFG,ADVANCEVB260,VCI Bag,PCS
